8235,22808
8571,24035
8426,21676
8426,21416
497,19546
497,7285
3161,21676
8446,1980
8446,1983
8446,20747
8446,20753
4268,16180
7405,24437
8446,6259
8446,1240
2385,2920
8599,23078
2841,25715
8521,22806
8521,22800
385,322
7935,5214
7935,5216
7935,5217
7935,5215
7935,5218
7935,5201
7935,5209
7935,5212
7935,5200
7935,5207
7935,5204
7935,5206
8446,4124
8446,8332
8446,8356
8446,25864
1622,3135
1622,3136
8446,17336
8446,21416
403,13609
403,13606
403,21282
403,21280
403,21279
403,21277
403,21278
403,21284
403,21283
403,21276
403,21285
403,21281
403,21286
8446,23310
472,15116
472,4109
472,1697
472,6271
8616,7263
8616,7434
1679,4994
1679,20448
1679,20447
1679,17042
1679,17043
1679,17044
1679,17040
1679,17041
1679,16512
1679,24012
1679,19751
1679,19421
1679,21603
1679,14340
1679,14341
1679,14342
1679,14352
1679,13039
1679,13040
1679,13043
1679,13042
1679,19754
1679,19753
1679,21497
1679,21498
1679,21500
1679,21499
1679,21496
1679,21505
1679,21501
247,25109
247,23132
8426,22222
8426,22223
8426,22224
8426,15581
5764,23311
2623,8334
2623,8335
2623,2127
2623,11782
770,14147
770,8876
770,13597
770,8404
6317,12800
8452,14147
7256,9039
7256,5065
7256,7264
7256,538
7256,24746
7256,24745
7256,24749
7256,24747
7256,24748
7256,24742
7256,24743
7256,1858
7256,1856
7256,1855
7256,2304
7256,2305
8346,25979
8446,9035
8446,9034
8446,9032
5764,25047
7566,25717
497,6276
497,14938
497,7281
497,1854
497,6271
497,1859
497,12803
497,19547
497,6261
497,7274
497,1861
497,12802
497,7280
497,7269
497,7286
497,8289
497,23203
497,695
497,25010
497,25008
497,25007
497,25009
497,3688
497,3665
497,3685
497,3689
497,3687
497,3664
497,3686
497,3684
497,3680
497,3671
497,3672
497,3666
497,3668
497,3670
497,3667
497,3669
497,3673
497,3674
497,3675
497,3676
497,3678
497,3679
497,3682
497,3683
497,25042
497,10820
497,10838
497,10830
497,10835
497,10817
497,10836
497,10824
497,10837
497,10834
497,10841
497,10839
497,10833
497,10829
497,10816
497,10822
497,10814
497,10815
497,10818
497,10819
497,10821
497,10825
497,10826
497,10823
497,10827
497,10828
497,10831
497,10832
497,10840
497,6553
497,20489
497,6282
497,6274
497,6279
497,21470
497,21464
497,21466
497,21463
497,20762
497,4192
497,4197
497,5065
497,15140
497,15139
497,9066
497,2900
497,14104
497,1449
497,1445
442,25369
442,25370
497,25814
497,25815
497,25816
497,14615
497,14614
497,19548
497,14612
497,14613
497,14866
497,15886
1953,21141
227,24999
472,19237
472,11784
8258,25103
2758,6027
227,25776
227,25777
227,25778
227,25779
227,26008
227,3015
227,3555
227,3561
227,3556
227,3559
227,3557
227,3558
227,3560
227,3562
227,3563
227,3554
6338,17329
6338,17328
472,14152
2385,595
6964,13962
6964,8936
6964,20817
6964,7222
6964,1714
6964,8320
6964,20819
6964,20738
6964,8318
6964,13964
6964,13961
2258,23652
8434,17954
227,1942
997,8895
8611,17260
5470,4969
1663,16143
1663,16142
1663,16144
1663,16145
1663,24334
1663,16146
1663,26052
1663,26074
1663,26072
1663,26051
1663,25756
6193,16146
6193,26052
6193,26074
6193,26072
6193,26051
6193,25756
6193,24334
6193,16145
6193,16144
6193,16142
6193,16143
251,24334
251,16143
251,16142
251,16144
251,16145
251,16146
251,26052
251,26074
251,26072
251,26051
251,25756
2744,11788
5350,9035
5350,9036
5879,25731
5050,12209
247,25982
247,25991
247,25993
247,25989
247,4200
247,25995
247,25996
247,25997
247,25998
247,4202
247,20808
247,20809
247,20810
247,20802
247,20804
247,20806
247,26103
247,25935
247,9295
247,9296
247,8040
247,8039
247,25093
247,18230
247,18228
247,18229
247,18219
247,18216
247,18218
5341,3014
5341,3015
5341,9254
5341,9255
5341,9253
5879,7948
8557,1853
8557,4384
8557,8935
8557,5851
8557,3862
8557,7494
8557,103
8557,6484
830,25022
8427,24742
8427,24745
8427,24749
8427,24747
8427,24744
8427,6191
8427,6190
8427,3362
8180,15031
8180,109
8180,19110
8180,9539
665,24745
665,24746
665,24749
665,24747
665,24748
665,24742
665,24743
665,24744
227,26105
227,26144
227,26083
8294,19054
4368,3560
497,24286
497,24285
8349,13609
8349,13607
8349,13606
8349,11662
8349,11665
